"School ID","School Name","Type","Authority","Gender","Regional Council","TA with Auckland Local Board","From","To","Number of changes"
64,"Epsom Girls Grammar School","Secondary (Year 9-15)","State: Not integrated","Single Sex-Girls","Auckland Region","Auckland- Albert-Eden",2000,2017,1
65,"Glendowie College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Orakei",2000,2017,1
66,"Dilworth School","Composite (Year 1-15)","Private: Fully Reg.","Single Sex-Boys","Auckland Region","Auckland- Albert-Eden",2000,2017,1
67,"Diocesan School For Girls","Composite (Year 1-15)","Private: Fully Reg.","Single Sex-Girls","Auckland Region","Auckland- Albert-Eden",2000,2017,1
68,"St Cuthbert's College (Epsom)","Composite (Year 1-15)","Private: Fully Reg.","Single Sex-Girls","Auckland Region","Auckland- Albert-Eden",2000,2017,1
69,"Mt Albert Grammar School","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Albert-Eden",2000,2017,1
70,"Marist College","Secondary (Year 7-15)","State: Integrated","Single Sex-Girls","Auckland Region","Auckland- Albert-Eden",2000,2017,1
73,"Hebron Christian College (Auckland)","Composite (Year 1-15)","Private: Fully Reg.","Co-Ed","Auckland Region","Auckland- Albert-Eden",2000,2017,1
74,"Mt Roskill Grammar","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Puketapapa",2000,2017,1
75,"Lynfield College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Puketapapa",2000,2017,1
77,"Bethlehem College","Composite (Year 1-15)","State: Integrated","Co-Ed","Bay of Plenty Region","Tauranga City",2000,2017,1
78,"Avondale College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Whau",2000,2017,1
79,"Edgewater College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Howick",2000,2017,1
80,"Pakuranga College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Howick",2000,2017,1
81,"St Kentigern College (Pakuranga)","Secondary (Year 7-15)","Private: Fully Reg.","Co-Ed","Auckland Region","Auckland- Howick",2004,2017,2
81,"St Kentigern College (Pakuranga)","Secondary (Year 7-15)","Private: Fully Reg.","Single Sex-Boys","Auckland Region","Auckland- Howick",2000,2003,2
82,"Aidanfield Christian School","Composite (Year 1-15)","State: Integrated","Co-Ed","Canterbury Region","Christchurch City",2000,2017,1
83,"Kelston Boys' High School","Secondary (Year 9-15)","State: Not integrated","Single Sex-Boys","Auckland Region","Auckland- Whau",2000,2017,1
84,"Kelston Girls' College","Secondary (Year 9-15)","State: Not integrated","Single Sex-Girls","Auckland Region","Auckland- Whau",2000,2017,1
85,"One Tree Hill College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Maungakiekie-Tamaki",2000,2017,1
86,"Onehunga High School","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Maungakiekie-Tamaki",2000,2017,1
87,"Howick College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Howick",2000,2017,1
88,"Otahuhu College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Mangere-Otahuhu",2000,2017,1
89,"Kings College","Secondary (Year 9-15)","Private: Fully Reg.","Sen.Co-Ed, Jun.Boys","Auckland Region","Auckland- Mangere-Otahuhu",2000,2017,1
90,"McAuley High School","Secondary (Year 9-15)","State: Integrated","Single Sex-Girls","Auckland Region","Auckland- Mangere-Otahuhu",2000,2017,1
91,"Mangere College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Mangere-Otahuhu",2000,2017,1
93,"Auckland Seventh-Day Adventist H S","Secondary (Year 9-15)","State: Integrated","Co-Ed","Auckland Region","Auckland- Mangere-Otahuhu",2000,2017,1
94,"De La Salle College","Secondary (Year 7-15)","State: Integrated","Single Sex-Boys","Auckland Region","Auckland- Otara-Papatoetoe",2000,2017,1
95,"Papatoetoe High School","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Otara-Papatoetoe",2000,2017,1
96,"Aorere College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Otara-Papatoetoe",2000,2017,1
97,"Sir Edmund Hillary Collegiate Senior School","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Otara-Papatoetoe",2000,2017,1
99,"Manurewa High School","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Manurewa",2000,2017,1
100,"James Cook High School","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Manurewa",2000,2017,1
101,"Papakura High School","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Papakura",2000,2017,1
102,"Rosehill College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Papakura",2000,2017,1
103,"Pukekohe High School","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Franklin",2000,2017,1
104,"Wesley College","Secondary (Year 7-15)","State: Integrated","Co-Ed","Auckland Region","Auckland- Franklin",2010,2017,2
104,"Wesley College","Secondary (Year 7-15)","State: Integrated","Sen.Co-Ed, Jun.Boys","Auckland Region","Auckland- Franklin",2000,2009,2
105,"Waiuku College","Secondary (Year 9-15)","State: Not integrated","Co-Ed","Auckland Region","Auckland- Franklin",2000,2017,1
106,"Tuakau College","Secondary (Year 7-15)","State: Not integrated","Co-Ed","Waikato Region","Waikato District",2000,2017,1
107,"St Stephen's School (Bombay)","Secondary (Year 7-15)","State: Integrated","Single Sex-Boys","Auckland Region","Auckland- Franklin",2000,2000,1
108,"Onewhero Area School","Composite (Year 1-15)","State: Not integrated","Co-Ed","Waikato Region","Waikato District",2000,2017,1
